,article_doi,Publication Year
ATC00129,10.1016/j.envpol.2019.113032,2019
ATC00130,10.1017/S1431927613013238,2013
ATC00131,10.3390/ijms232012198,2022
ATC00132,10.1897/06-156R1.1,2007
ATC00133,10.1016/j.chemosphere.2020.126172,2020
ATC00134,10.3967/0895-3988.2013.09.005,2013
ATC00135,10.1016/j.jhazmat.2020.124966,2021
ATC00136,10.1016/j.jcis.2009.12.040,2010
ATC00137,10.1021/acs.est.6b04728,2017
ATC00138,10.1016/j.chemosphere.2016.10.030,2017
ATC00139,10.1016/j.aquatox.2016.01.011,2016
ATC00140,10.1016/j.nano.2021.102381,2021
ATC00141,10.1016/j.materresbull.2013.05.010,2013
ATC00142,10.1016/j.msec.2013.11.006,2014
ATC00143,10.1142/S1793292008001106,2008
ATC00144,10.2147/IJN.S250467,2020
ATC00145,10.1016/j.ecoenv.2019.109421,2019
ATC00146,10.1021/acs.est.5b01711,2015
ATC00147,10.2147/IJN.S132784,2017
ATC00148,10.1038/s41598-017-00458-4,2017
ATC00149,10.1016/j.msec.2017.04.138,2017
ATC00150,10.3390/ijerph19148486,2022
ATC00151,10.1007/s10924-018-1310-8,2018
ATC00152,10.1111/j.1365-2672.2009.04464.x,2010
ATC00153,10.3390/app6020046,2016
ATC00154,10.1134/S1062359010040114,2010
ATC00155,10.1016/j.impact.2023.100457,2023
ATC00156,10.1016/j.aquatox.2014.04.022,2014
ATC00157,10.1002/jat.3203,2016
ATC00158,10.1016/j.jpcs.2013.07.017,2013
ATC00159,10.1016/j.envpol.2020.113937,2020
ATC00160,10.1007/s00128-019-02694-y,2019
ATC00161,10.1080/00914037.2019.1706512,2021
ATC00162,10.1371/journal.pone.0071260,2013
ATC00163,10.1021/es4046023,2014
ATC00164,10.1080/17435390.2022.2133646,2022
ATC00165,10.1016/j.talanta.2008.10.025,2009
ATC00166,10.1016/j.aquatox.2023.106550,2023
ATC00167,10.1002/etc.5210,2021
ATC00168,10.1007/s11696-022-02602-5,2023
ATC00169,10.1007/s00360-014-0824-1,2014
ATC00170,10.1016/j.aquatox.2014.10.005,2014
ATC00171,10.1002/jemt.23785,2021
ATC00172,10.1016/j.cbpc.2013.09.008,2014
ATC00173,10.1007/s00244-013-9905-5,2013
ATC00174,10.1016/j.jhazmat.2012.02.014,2012
ATC00175,10.1155/2015/893049,2015
ATC00176,10.1897/08-002.1,2008
ATC00177,10.1016/j.ecoenv.2018.08.093,2018
ATC00178,10.3109/17435390.2013.875232,2014
ATC00179,10.1016/j.matchemphys.2018.12.086,2019
ATC00180,10.1111/1750-3841.16221,2022
ATC00181,10.1016/j.molliq.2022.119227,2022
ATC00182,10.1080/15440478.2021.1932673,2022
ATC00183,10.1039/c5en00226e,2016
ATC00184,10.17159/wsa/2023.v49.i2.3919,2023
ATC00185,10.1007/s12034-019-1779-3,2019
ATC00186,10.1016/j.carbon.2016.03.041,2016
ATC00187,10.1016/j.nano.2019.102125,2020
ATC00188,10.1186/s11671-015-1047-4,2015
ATC00189,10.1007/s40089-022-00387-9,2023
ATC00190,10.1016/j.aquatox.2013.11.026,2014
ATC00191,10.1016/j.scitotenv.2012.12.037,2013
ATC00192,10.1016/j.solidstatesciences.2018.12.011,2019
ATC00193,10.1016/j.aquaculture.2021.737568,2022
ATC00194,10.1080/17435390.2016.1206147,2016
ATC00195,10.1021/acsomega.1c05095,2022
ATC00196,10.1016/j.mtcomm.2020.101377,2020
ATC00197,10.1016/j.micpath.2018.08.053,2018
ATC00198,10.1016/j.chemosphere.2016.07.044,2016
ATC00199,10.3390/catal11010063,2021
ATC00200,10.1016/j.chemosphere.2015.10.065,2016
ATC00201,10.1016/j.chemosphere.2015.03.078,2015
ATC00202,10.1021/jf0612070,2006
ATC00203,10.1007/s13273-015-0045-z,2015
ATC00204,10.1016/j.foodcont.2023.109777,2023
ATC00205,10.1021/es4015597,2013
ATC00206,10.1021/es800422x,2008
ATC00207,10.1016/j.ecoenv.2020.111102,2020
ATC00208,10.1007/s11356-017-0494-0,2018
ATC00209,10.1007/s11051-014-2559-z,2014
ATC00210,10.1088/2043-6254/ab0882,2019
ATC00211,10.1371/journal.pone.0020112,2011
ATC00212,10.1007/s00253-011-3611-x,2011
ATC00213,10.1021/es401403p,2013
ATC00214,10.2147/IJN.S168959,2018
ATC00215,10.1002/etc.4584,2019
ATC00216,10.1016/j.materresbull.2011.12.036,2012
ATC00217,10.1016/j.jcis.2022.12.077,2023
ATC00218,10.1016/j.scitotenv.2018.07.446,2019
ATC00219,10.1016/j.impact.2018.08.006,2018
ATC00220,10.1016/j.scitotenv.2019.05.052,2019
ATC00221,10.1002/etc.4549,2019
ATC00222,10.3109/17435390.2014.889236,2015
ATC00223,10.3390/biology11101523,2022
ATC00224,10.1021/acs.est.8b04849,2018
ATC00225,10.1016/j.aquatox.2015.05.020,2015
ATC00226,10.1016/j.scitotenv.2015.11.074,2016
ATC00227,10.1016/j.scitotenv.2021.151642,2022
ATC00228,10.1002/etc.4349,2019
ATC00229,10.1155/2016/9859530,2016
ATC00230,10.1016/j.ecoenv.2014.04.001,2014
ATC00231,10.2166/wst.2008.634,2008
ATC00232,10.1016/j.actbio.2007.11.006,2008
ATC00233,10.1111/jam.14364,2019
ATC00234,10.1016/j.wse.2020.06.007,2020
ATC00235,10.1007/s10695-018-0585-y,2019
ATC00236,10.1021/acsabm.1c00674,2021
ATC00237,10.1016/j.jhazmat.2019.120958,2020
ATC00238,10.1016/j.jcis.2018.07.096,2018
ATC00239,10.1186/s12951-017-0254-9,2017
ATC00240,10.1016/j.aquatox.2022.106127,2022
ATC00241,10.1016/j.scitotenv.2021.150228,2022
ATC00242,10.1016/j.dci.2010.12.014,2011
ATC00243,10.1016/j.matchemphys.2020.123037,2020
ATC00244,10.1080/17435390.2018.1513091,2018
ATC00245,10.1002/etc.329,2010
ATC00246,10.3390/ijerph120505386,2015
ATC00247,10.22092/ijfs.2022.128212,2022
ATC00248,10.1021/acsanm.3c03380,2023
ATC00249,10.1016/j.ces.2012.08.054,2012
ATC00250,10.1002/slct.202400233,2024
ATC00251,10.1021/acs.est.8b04235,2018
ATC00252,10.1071/EN09125,2010
ATC00253,10.1016/j.jhazmat.2020.124031,2021
ATC00254,10.1007/s10695-011-9509-9,2012
ATC00255,10.1007/s13399-022-02798-2,2024
ATC00256,10.1016/j.clay.2022.106512,2022
ATC00257,10.1016/j.envpol.2013.07.001,2013
ATC00258,10.1007/s00436-014-4258-1,2015
ATC00259,10.1007/s11626-013-9720-3,2014
ATC00260,10.1016/j.carbpol.2011.04.028,2011
ATC00261,10.1007/s10646-016-1626-x,2016
ATC00262,10.1016/j.ecoenv.2018.07.113,2018
ATC00263,10.3390/microorganisms11030811,2023
ATC00264,10.1007/s00128-016-1883-7,2016
ATC00265,10.1007/s11356-017-9054-x,2017
ATC00266,10.2478/nuka-2014-0019,2014
ATC00267,10.3109/17435390.2010.537382,2011
ATC00268,10.1039/c9en01277j,2020
ATC00269,10.1016/j.scp.2021.100554,2021
ATC00270,10.1021/es503006v,2014
ATC00271,10.1016/j.ecoenv.2023.115893,2024
ATC00272,10.1016/j.jhazmat.2016.07.034,2016
ATC00273,10.1007/s13273-018-0003-7,2018
ATC00274,10.1039/c9en01026b,2020
ATC00275,10.4194/1303-2712-v19_12_03,2019
ATC00276,10.1021/acsami.2c10869,2022
ATC00277,10.1016/j.scitotenv.2013.06.101,2014
ATC00278,10.1002/asia.201101006,2012
ATC00279,10.1038/srep36465,2016
ATC00280,10.1007/s10695-021-01036-2,2022
ATC00281,10.3390/app12031528,2022
ATC00282,10.1016/j.jhazmat.2017.07.061,2018
ATC00283,10.1086/physzool.69.1.30164204,1996
ATC00284,10.1016/j.impact.2019.01.001,2019
ATC00285,10.1021/acs.est.7b06099,2018
ATC00286,10.1039/c4cc03712j,2014
ATC00287,10.1038/s41598-022-09571-5,2022
ATC00288,10.1007/s11694-023-02263-2,2024
ATC00289,10.1049/iet-nbt.2015.0038,2016
ATC00290,10.2478/pjvs-2013-0011,2013
ATC00291,10.1007/s10517-014-2427-y,2014
ATC00292,10.1002/etc.2133,2013
ATC00293,10.1093/toxsci/kfp064,2009
ATC00294,10.3109/17435390.2011.562329,2012
ATC00295,10.1002/naaq.10221,2022
ATC00296,10.1016/j.scitotenv.2018.02.081,2018
ATC00297,10.3390/ijerph15030416,2018
ATC00298,10.1002/bkcs.11080,2017
ATC00299,10.1080/02772248.2014.987511,2014
ATC00300,10.1074/jbc.M806501200,2009
ATC00301,10.1007/s13233-012-0150-y,2012
ATC00302,10.4194/1303-2712-v20_6_06,2020
ATC00303,10.1016/S0887-2333(00)00048-5,2000
ATC00304,10.1002/etc.3501,2016
ATC00305,10.1016/j.ecoenv.2015.05.020,2015
ATC00306,10.1016/j.ica.2016.07.014,2016
ATC00307,10.1007/s11051-015-3279-8,2015
ATC00308,10.1021/acsami.6b07463,2016
ATC00309,10.1089/zeb.2014.1037,2014
ATC00310,10.1074/jbc.M413595200,2005
ATC00311,10.1016/j.etap.2014.05.016,2014
ATC00312,10.1046/j.1444-2906.2000.00149.x,2000
ATC00313,10.1071/EN15003,2015
ATC00314,10.1016/j.scitotenv.2021.147302,2021
ATC00315,10.1016/j.envpol.2018.12.043,2019
ATC00316,10.1016/j.aquatox.2009.12.012,2010
ATC00317,10.1007/s10499-015-9906-7,2016
ATC00318,10.1016/j.aquatox.2012.08.021,2013
ATC00319,10.1016/j.ecoenv.2022.113227,2022
ATC00320,10.1016/j.aquatox.2016.05.001,2016
ATC00321,10.1021/acsfoodscitech.3c00470,2024
ATC00322,10.1007/s10499-021-00778-3,2021
ATC00323,10.1039/d4tb00536h,2024
ATC00324,10.1038/s41598-021-89330-0,2021
ATC00325,10.1016/j.soilbio.2009.12.007,2010
ATC00326,10.1080/02757540.2022.2162893,2023
ATC00327,10.1080/17435390.2018.1430258,2018
ATC00328,10.1007/s10646-023-02672-5,2023
ATC00329,10.1080/01480545.2019.1567757,2021
ATC00330,10.1515/polyeng-2014-0319,2015
ATC00331,10.1016/j.colsurfa.2022.129109,2022
ATC00332,10.4028/www.scientific.net/JNanoR.71.29,2022
ATC00333,10.1016/j.chemosphere.2020.127657,2021
ATC00334,10.5812/jjnpp.64358,2020
ATC00335,10.1016/j.aquatox.2009.09.016,2010
ATC00336,10.1080/14634988.2019.1624135,2019
ATC00337,10.1016/j.cbpc.2017.03.004,2017
ATC00338,10.1021/nl201391e,2011
ATC00339,10.1007/s11356-022-19717-7,2022
ATC00340,10.1007/s12011-018-1563-z,2019
ATC00341,10.1007/s10646-015-1436-6,2015
ATC00342,10.1016/j.ecoenv.2013.07.001,2013
ATC00343,10.1007/s11051-018-4281-8,2018
ATC00344,10.1016/j.colcom.2018.08.002,2018
ATC00345,10.1016/j.psep.2016.05.023,2016
ATC00346,10.1002/smll.202205890,2023
ATC00347,10.1021/bm800574x,2008
ATC00348,10.1016/j.jhazmat.2021.126779,2022
ATC00349,10.1016/j.carbpol.2013.02.077,2013
ATC00350,10.1016/j.scitotenv.2021.146224,2021
ATC00351,10.1049/iet-nbt.2011.0066,2012
ATC00352,10.1016/j.fsi.2021.09.014,2021
ATC00353,10.1016/j.talanta.2019.04.076,2019
ATC00354,10.1016/j.enceco.2023.04.001,2023
ATC00355,10.1179/1753555713Y.0000000092,2014
ATC00356,10.1007/s10646-008-0215-z,2008
ATC00357,10.1016/j.cbi.2024.110925,2024
ATC00358,10.1007/s00396-011-2581-y,2012
ATC00359,10.1007/s11356-011-0689-8,2012
ATC00360,10.1016/j.envpol.2017.09.033,2018
ATC00361,10.1021/acs.est.6b00056,2016
ATC00362,10.3390/ijerph120808828,2015
ATC00363,10.1016/j.scitotenv.2019.05.476,2019
ATC00364,10.3109/13693786.2013.822996,2014
ATC00365,10.1016/j.marpolbul.2022.113971,2022
ATC00366,10.17582/journal.pjz/2017.49.3.1077.1083,2017
ATC00367,10.1007/s13205-018-1457-y,2018
ATC00368,10.1016/j.envres.2022.114019,2022
ATC00369,10.1179/1743676111Y.0000000023,2011
ATC00370,10.1039/c4ra08462d,2014
ATC00371,10.1016/j.envpol.2018.04.069,2018
ATC00372,10.1021/es062572a,2007
ATC00373,10.1038/ijos.2013.64,2014
ATC00374,10.3390/gels9010011,2023
ATC00375,10.1515/gps-2023-0251,2024
ATC00376,10.1021/acsomega.0c02833,2020
ATC00377,10.1016/j.ijfoodmicro.2020.108835,2020
ATC00378,10.1111/1750-3841.16666,2023
ATC00379,10.1021/acs.est.0c07968,2021
ATC00380,10.1016/j.cbpc.2015.12.007,2016
ATC00381,10.1049/iet-nbt.2016.0112,2017
ATC00382,10.1080/17435390.2017.1395097,2017
ATC00383,10.1016/j.scitotenv.2020.143851,2021
ATC00384,10.1016/j.cbpc.2019.108623,2019
ATC00385,10.1016/j.apcatb.2015.03.029,2015
ATC00386,10.24099/vet.arhiv.0150,2019
ATC00387,10.1007/s10646-010-0590-0,2011
ATC00388,10.1016/j.ecoenv.2016.02.011,2016
ATC00389,10.1016/j.fsi.2014.08.018,2014
ATC00390,10.1039/c1em10197h,2011
ATC00391,10.1007/s00339-023-06530-3,2023
ATC00392,10.1039/c2ra22336h,2013
ATC00393,10.1016/j.mtcomm.2021.102725,2021
ATC00394,10.1016/j.aquaculture.2019.734529,2020
ATC00395,10.1016/S0034-5687(97)00117-5,1998
ATC00396,10.1002/jobm.201500516,2016
ATC00397,10.1021/es200506b,2011
ATC00398,10.22092/ijfs.2022.128010,2022
ATC00399,10.1016/j.nano.2016.12.008,2017
ATC00400,10.1016/j.jcis.2010.02.028,2010
ATC00401,10.1021/acs.nanolett.5b04487,2016
ATC00402,10.3390/antibiotics11030352,2022
ATC00403,10.1016/j.carbon.2017.06.087,2017
ATC00404,10.1007/s42398-022-00223-y,2022
ATC00405,10.1016/j.envpol.2007.06.069,2008
ATC00406,10.1080/00405000.2023.2202113,2024
ATC00407,10.1016/j.ecoenv.2016.07.041,2016
ATC00408,10.1021/acs.est.1c08564,2022
ATC00409,10.3109/17435390.2014.980758,2015
ATC00410,10.1016/j.envres.2014.06.017,2014
ATC00411,10.3109/17435390.2014.976851,2015
ATC00412,10.1007/s10068-022-01031-0,2022
ATC00413,10.1016/j.micpath.2017.07.054,2017
ATC00414,10.1016/j.aquatox.2013.12.024,2014
ATC00415,10.1080/10889868.2021.1911922,2022
ATC00416,10.1016/j.envpol.2021.117141,2021
ATC00417,10.1007/s12257-010-0251-4,2012
ATC00418,10.1002/smll.201500136,2015
ATC00419,10.1109/JSEN.2008.923929,2008
ATC00420,10.1016/j.aquaculture.2017.03.036,2017
ATC00421,10.3109/17435390.2012.737484,2013
ATC00422,10.1016/j.jhazmat.2021.126510,2021
ATC00423,10.1002/etc.2158,2013
ATC00424,10.1016/j.ecoenv.2017.08.053,2018
ATC00425,10.1016/j.aquatox.2010.07.016,2010
ATC00426,10.1007/s10570-023-05261-1,2023
ATC00427,10.1016/j.jiec.2018.01.013,2018
ATC00428,10.1088/1361-6528/ab7535,2020
ATC00429,10.1007/s12274-013-0360-4,2013
ATC00430,10.1016/j.aquatox.2012.02.033,2012
ATC00431,10.1016/j.scitotenv.2019.135623,2020
ATC00432,10.3390/pharmaceutics15061679,2023
ATC00433,10.1021/acs.est.4c00065,2024
ATC00434,10.1080/17435390.2018.1498931,2019
ATC00435,10.1016/j.dci.2016.04.010,2016
ATC00436,10.1021/acsnano.5b04583,2015
ATC00437,10.3390/app11177922,2021
ATC00438,10.22438/jeb/40/4/MRN-934,2019
ATC00439,10.1002/etc.309,2010
ATC00440,10.1021/acsabm.1c00618,2021
ATC00441,10.1093/toxsci/kfn256,2009
ATC00442,10.1007/s10570-015-0854-1,2016
ATC00443,10.1016/j.aquatox.2020.105549,2020
ATC00444,10.1007/s10499-023-01164-x,2024
ATC00445,10.1139/cjss-2023-0042,2024
ATC00446,10.1116/1.4972100,2016
ATC00447,10.3390/polym11071185,2019
ATC00448,10.1111/lam.13654,2022
ATC00449,10.1016/j.aquatox.2020.105546,2020
ATC00450,10.1016/j.molliq.2021.116582,2021
ATC00451,10.1039/c5ra06065f,2015
ATC00452,10.1007/s11356-022-22448-4,2023
ATC00453,10.1016/j.electacta.2009.04.005,2009
ATC00454,10.2147/IJN.S107752,2016
ATC00455,10.22092/ijfs.2018.116825,2020
ATC00456,10.1016/j.jpba.2019.113012,2020
ATC00457,10.1007/s10904-017-0509-9,2017
ATC00458,10.21123/bsj.2021.18.1.0001,2021
ATC00459,10.1007/s12668-022-01026-5,2022
ATC00460,10.3390/ijms21051799,2020
ATC00461,10.1007/s00128-023-03811-8,2023
ATC00462,10.1002/bio.3481,2018
ATC00463,10.1007/s12011-022-03211-9,2023
ATC00464,10.1039/c9gc03443a,2019
ATC00465,10.1016/j.aquatox.2017.03.020,2017
ATC00466,10.1007/s12665-011-1139-0,2012
ATC00467,10.1080/17435390.2016.1181807,2016
ATC00468,10.1111/php.13680,2023
ATC00469,10.1039/c9en00360f,2019
ATC00470,10.1016/j.envpol.2019.113852,2020
ATC00471,10.1002/smll.201101158,2011
ATC00472,10.1016/j.ecoenv.2017.03.008,2017
ATC00473,10.1016/j.fpsl.2023.101056,2023
ATC00474,10.1017/S000711452100074X,2022
ATC00475,10.1021/am3032025,2013
ATC00476,10.3390/md19020072,2021
ATC00477,10.3109/17435390.2010.489206,2011
ATC00478,10.1371/journal.pone.0238823,2020
ATC00479,10.1002/app.42133,2015
ATC00480,10.1016/j.jcis.2016.04.009,2016
ATC00481,10.3109/17435390.2013.847504,2014
ATC00482,10.1111/jam.14407,2019
ATC00483,10.1002/etc.3159,2016
ATC00484,10.1016/j.cej.2023.145328,2023
ATC00485,10.1016/j.vetmic.2011.11.020,2012
ATC00486,10.1021/acsami.5b06264,2015
ATC00487,10.1111/j.1365-2761.1989.tb00325.x,1989
ATC00488,10.1166/jnn.2016.11126,2016
ATC00489,10.1039/c3nj00135k,2013
ATC00490,10.1080/10667857.2021.1990459,2022
ATC00491,10.1016/j.aquatox.2014.03.023,2014
ATC00492,10.1007/s00418-020-01933-2,2020
ATC00493,10.1016/j.scitotenv.2020.137974,2020
ATC00494,10.1016/j.envpol.2022.118954,2022
ATC00495,10.1016/j.mssp.2021.106129,2021
ATC00496,10.1016/j.toxlet.2007.04.008,2007
ATC00497,10.1016/j.sjbs.2020.09.032,2020
ATC00498,10.1080/01650424.2020.1712422,2020
ATC00499,10.1016/j.toxrep.2020.04.015,2020
ATC00500,10.1016/j.aquaculture.2021.737017,2021
ATC00501,10.1016/j.chemosphere.2020.128822,2021
ATC00502,10.1002/jat.3255,2016
ATC00503,10.1016/j.envres.2018.02.006,2018
ATC00504,10.1039/c6en00440g,2017
ATC00505,10.1007/s11356-019-06675-w,2019
ATC00506,10.1016/j.envpol.2017.05.048,2017
ATC00507,10.1016/j.envpol.2022.120907,2023
ATC00508,10.3390/nano11020549,2021
ATC00509,10.1111/anu.13201,2021
ATC00510,10.1016/j.scitotenv.2014.10.120,2015
ATC00511,10.1016/j.cell.2011.01.015,2011
ATC00512,10.1155/2015/416012,2015
ATC00513,10.1016/j.physbeh.2016.08.032,2016
ATC00514,10.1007/s11356-015-4581-9,2015
ATC00515,10.1002/etc.5440,2022
ATC00516,10.1016/j.nano.2014.09.017,2015
ATC00517,10.1016/j.aquatox.2020.105653,2020
ATC00518,10.1007/s11696-020-01177-3,2020
ATC00519,10.1002/etc.8,2010
ATC00520,10.1016/j.cbpc.2022.109369,2022
ATC00521,10.1080/00914037.2014.945202,2015
ATC00522,10.1016/j.jcis.2022.04.026,2022
ATC00523,10.1039/d3ra02822d,2023
ATC00524,10.1371/journal.pone.0075026,2013
ATC00525,10.1111/are.13418,2017
ATC00526,10.1080/00032719.2019.1663528,2020
ATC00527,10.1007/s11051-008-9426-8,2009
ATC00528,10.1021/acsabm.9b00614,2019
ATC00529,10.1016/j.heliyon.2022.e10406,2022
ATC00530,10.1039/d2na00105e,2022
ATC00531,10.1016/j.molliq.2017.06.106,2017
ATC00532,10.1016/j.snb.2018.10.019,2019
ATC00533,10.1242/jeb.242614,2021
ATC00534,10.1111/lam.13102,2019
ATC00535,10.1093/jambio/lxae063,2024
ATC00536,10.1016/j.aquatox.2013.11.006,2014
ATC00537,10.1016/j.matchemphys.2019.122300,2020
ATC00538,10.1080/17435390.2018.1458342,2018
ATC00539,10.21608/EJCHEM.2023.227121.8361,2024
ATC00540,10.1002/etc.1881,2012
ATC00541,10.1016/j.jcis.2011.05.009,2011
ATC00542,10.1007/s10008-013-2031-5,2013
ATC00543,10.1111/are.14717,2020
ATC00544,10.3390/polym10080878,2018
ATC00545,10.3390/nano13182523,2023
ATC00546,10.1186/s12302-022-00695-z,2022
ATC00547,10.1002/app.51777,2022
ATC00548,10.3390/w15183172,2023
ATC00549,10.3390/microorganisms11122877,2023
ATC00550,10.1016/j.apsusc.2020.146332,2020
ATC00551,10.1111/j.1751-1097.2007.00364.x,2008
ATC00552,10.1016/j.jhin.2005.04.015,2006
ATC00553,10.3390/foods9040442,2020
ATC00554,10.1002/ceat.201600380,2016
ATC00555,10.1016/j.reactfunctpolym.2016.08.010,2016
ATC00556,10.3906/kim-1705-70,2018
ATC00557,10.3109/17435390.2010.501914,2011
ATC00558,10.3311/PPch.8869,2016
ATC00559,10.1093/toxsci/kfq076,2010
ATC00560,10.3390/polym12051117,2020
ATC00561,10.1002/ps.7397,2023
