,tokens
75,"water, method, uv, zno, analysis, p, light, based, effects, visible, masson, sas, different, background, society"
76,"society, masson, sas, h, japan, elsevier, korean, authors, chemistry, author, industrial, engineering, powder, technology, objective"
77,"objective, purpose, uv, method, synthesis, water, c, vis, visible, different, compared, degrees, present, treatment, cell"
78,"prepared, electron, species, microscopy, analysis, oxygen, effects, water, reactive, synthesized, objective, based, scanning, growth, potential"
79,"purpose, growth, electron, microscopy, light, scanning, inhibition, analysis, time, conclusion, sem, could, energy, treatment, visible"
80,"purpose, x, species, ray, oxygen, reactive, compared, effects, ros, toxicity, diffraction, prepared, water, two, zno"
81,"growth, inhibition, species, oxygen, water, x, reactive, purpose, xrd, ray, well, ros, uv, concentrations, increased"
82,"biochem, et, al, inc, bioinformatics, gmbh, recent, elsevier, ical, sem, size, well, oscillation, h, tem"
83,"conclusion, prepared, could, different, species, oxygen, coli, reactive, analysis, concentrations, treatment, ml, p, negative, x"
84,"x, light, growth, ray, nm, analysis, could, effects, visible, min, ml, irradiation, p, photocatalytic, different"
85,"two, conclusion, growth, acid, compared, e, staphylococcus, escherichia, one, concentration, nm, water, uv, investigated, potential"
86,"toxicity, size, two, light, prepared, well, x, tio2, ray, observed, found, could, visible, particle, efficiency"
87,"two, toxicity, could, coli, nm, low, observed, aureus, treatment, ml, concentrations, mu, positive, negative, prepared"
88,"size, two, coli, aureus, found, time, effects, particle, negative, positive, synthesis, structure, tem, xrd, growth"
89,"well, could, two, zno, release, effects, treatment, drug, compared, characterized, mg, sem, ml, species, wound"
90,"well, acid, observed, coli, aureus, presence, protein, increased, zno, mu, positive, x, light, ml, concentrations"
91,"well, synthesis, oxide, engineers, chemical, coli, compared, aureus, institute, institution, taiwan, applications, extract, growth, green"
92,"observed, time, significant, prepared, ml, mm, detection, synthesis, concentrations, mg, staphylococcus, e, treatment, extract, first"
93,"engineers, chemical, institute, institution, taiwan, observed, treatment, american, acid, could, physics, zno, staphylococcus, escherichia, significant"
94,"treatment, g, concentration, increased, university, well, observed, tio2, saud, king, behalf, oxide, l, applications, significantly"
95,"university, saud, king, behalf, acid, hosting, ml, could, engineers, masson, sas, size, detection, chemical, mm"
96,"could, observed, synthesis, acid, effects, applications, oxide, compared, found, structure, extract, green, academic, h, press"
97,"time, could, g, first, increased, nm, ph, p, synthesis, investigated, observed, exposure, university, protein, escherichia"
98,"found, increased, well, effective, prepared, protein, significantly, effects, infrared, nm, concentrations, fourier, transform, engineers, tio2"
99,"release, observed, found, drug, efficiency, ph, g, infrared, fourier, toxicity, encapsulation, transform, exhibited, inhibition, coli"
100,"mm, oxide, increased, gmbh, efficiency, significantly, p, higher, exhibited, tio2, release, mg, graphene, sem, membrane"
