,tokens
68,"cur, snps, curcumin, gqds, cu2o, membranes, pd, fe, zif, e, membrane, nanofibers, study, ncs, pes"
69,"snps, sers, vi, pani, using, silver, u, cr, eps, agnp, hydrogels, cur, activity, complexes, nisin"
70,"cu2o, pd, gqds, using, agnp, pcl, pt, ps, nanoparticles, sers, sio2, vi, copper, escherichia, potential"
71,"pd, bacteria, activity, snps, pani, sers, negative, agnp, positive, study, nanoparticles, complexes, nanofibers, cunps, wound"
72,"fe, gqds, l, ps, sers, used, beta, mg, ca, escherichia, ta, n, detection, nfs, using"
73,"znonps, results, l, cnts, fe, study, mg, cnt, ca, bacteria, e, ta, nanoparticles, hydrogels, ps"
74,"activity, gqds, pcl, znonps, c3n4, vi, fe, n, cd, chitosan, cr, u, pda, np, also"
75,"vi, u, cr, beta, gqds, results, l, mnps, zn, alpha, fe2o3, e, adsorption, ca, chitosan"
76,"mnps, hydrogels, c3n4, ca, cnts, ps, ta, cnt, activity, also, peg, bacterial, n, antibacterial, results"
77,"hydrogels, znonps, showed, sers, beta, pd, gqds, nisin, cnts, potential, nm, sio2, zn, cur, alpha"
78,"cu2o, activity, mnps, znonps, ps, l, hydrogels, chitosan, zn, ii, snps, eps, agnp, nisin, nano"
79,"used, n, cnts, cu2o, ps, cnt, sers, vi, mnps, potential, u, cr, cd, ta, aureus"
80,"used, ca, hydrogels, np, mps, sers, ta, cu2o, msns, pei, fibers, pd, eps, antibacterial, method"
81,"cnts, showed, cnt, hydrogels, np, gqds, bacteria, also, ni, gnps, mps, pei, vi, cd, film"
82,"sers, mnps, used, gqds, np, nanoparticles, pda, soil, e, cnts, curcumin, beta, potential, study, eps"
83,"sio2, used, nano, hydrogels, nfs, bacteria, results, pani, silica, copper, antibacterial, curcumin, negative, shell, fe"
84,"cnts, activity, also, fe2o3, beta, sio2, cnt, cu2o, alpha, np, used, eps, nfs, mps, silver"
85,"n, also, showed, sio2, mnps, np, e, hydrogels, nanoparticles, using, l, fe, bacteria, membranes, cu2o"
86,"ta, showed, soil, mnps, sa, znonps, nfs, used, fe2o3, sio2, nanoparticles, snps, np, bacterial, pcl"
87,"ca, cnts, used, n, fe2o3, activity, soil, showed, np, nanoparticles, o157, h7, znonps, cur, cnt"
88,"potential, l, bacteria, showed, fibers, fe2o3, mg, cuonps, wo3, sno2, curcumin, hydrogel, e, cells, silver"
89,"ca, also, potential, sio2, mnps, np, znonps, sers, showed, nanoparticles, snps, wound, l, chitosan, c3n4"
90,"soil, also, mg, l, kg, earthworms, used, antibacterial, ps, hydrogels, membranes, nm, beta, size, complexes"
91,"fibers, ca, e, sio2, soil, sers, bacterial, aureus, cells, wound, hydrogel, nano, beta, also, cell"
92,"eps, fibers, nfs, also, ti, sno2, film, cur, hydrogels, zein, n, mnps, wound, np, ch"
93,"curcumin, beta, nfs, sno2, antibacterial, cnts, znonps, n, hydrogel, np, mnps, g, fibers, ti, activity"
94,"nfs, sno2, mir, properties, cur, gnps, ti, surface, hydrogels, wound, cu2o, sers, pei, ca, chitosan"
95,"fibers, pei, mir, wound, hydrogels, curcumin, c3n4, properties, l, healing, surface, plga, potential, n, high"
96,"eps, copper, pei, curcumin, wo3, l, tc, nfs, cells, sno2, cell, membrane, pcl, showed, znonps"
97,"eps, fe2o3, soil, curcumin, ca, wound, gnps, nfs, ta, showed, hydrogels, alpha, high, g, sno2"
98,"mir, eps, pei, potential, beta, film, hydrogel, sio2, ca, showed, pcl, bacteria, nanopolystyrene, toxicity, cells"
99,"mir, fe2o3, curcumin, ti, also, copper, hydrogel, nanopolystyrene, nfs, toxicity, mirnas, alpha, nano, high, cmc"
100,"copper, gnps, sno2, potential, peg, plga, pei, activity, fibers, znonps, wound, nc, g, soil, e"
